id,face,im,hemifield,response,rt,correct,location,radius,angle,cols,pch,col1,angle2,group,gcol
o3,68,Intact,LVF,right,4.850365,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,66,Mirror reversed,LVF,right,5.100985,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,58,Mirror reversed,LVF,left,3.718265,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,67,Mirror reversed,LVF,right,8.3998,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,50,Intact,LVF,right,6.48387,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,37,Intact,LVF,right,2.4334,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,20,Intact,LVF,left,2.4663,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,79,Mirror reversed,RVF,left,2.516985,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,32,Intact,RVF,right,2.919815,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,47,Intact,RVF,left,2.2178,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,38,Intact,LVF,right,3.966285,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,10,Intact,RVF,right,1.865755,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,51,Intact,RVF,right,2.018125,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,54,Mirror reversed,RVF,right,1.616835,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,37,Mirror reversed,RVF,left,1.767525,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,33,Mirror reversed,LVF,left,1.92883,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,22,Mirror reversed,LVF,right,2.016295,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,19,Mirror reversed,LVF,left,1.91562,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,66,Intact,RVF,left,1.93616,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,76,Intact,LVF,right,3.61599,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,62,Intact,LVF,right,3.485305,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
