id,TrialNumber,im,faceNumber,hemifield,aoi,dwellTime,nFixations,nDwells,fixX,fixY,firstFixNum,lastFixNum,fix0X,fix0Y,fix1X,fix1Y,lastFixX,lastFixY,face,hem,angle,group,col,angle2,correct
j2,19,Mirror reversed,O59,RVF,3. right,1632,2,2,0.594594595,0.567567568,1,6,0.108108108,0.648648649,0.675675676,0.540540541,339,21,1. LL,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,20,Mirror reversed,O79,RVF,1. left,666,1,1,0.675675676,0.675675676,3,3,0.567567568,1.189189189,0.675675676,0.675675676,-295,25,3. RR,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,20,Mirror reversed,O79,RVF,2. center,2039,3,3,0.513513514,0.945945946,2,4,0.567567568,1.189189189,0.459459459,0.918918919,21,25,2. target,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,20,Mirror reversed,O79,RVF,3. right,1016,1,1,0.459459459,0.702702703,1,1,0.567567568,1.189189189,0.459459459,0.702702703,337,26,1. LL,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,21,Intact,O77,RVF,1. left,732,1,1,0.297297297,0.567567568,3,3,-0.081081081,1.189189189,0.297297297,0.567567568,-309,21,3. RR,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,21,Intact,O77,RVF,2. center,1415,3,3,0.081081081,1.054054054,2,4,-0.081081081,1.189189189,0.054054054,0.945945946,20,33,2. target,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,21,Intact,O77,RVF,3. right,1015,2,2,0.243243243,0.864864865,1,5,-0.081081081,1.189189189,0.243243243,0.837837838,327,34,1. LL,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,22,Mirror reversed,O46,LVF,1. left,1848,2,2,0.405405405,0.432432432,3,7,-0.135135135,1.027027027,0.189189189,0.405405405,-283,18,1. LL,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,22,Mirror reversed,O46,LVF,2. center,2189,4,4,0.081081081,0.72972973,2,6,-0.135135135,1.027027027,0.702702703,0.513513514,-10,31,2. target,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,22,Mirror reversed,O46,LVF,3. right,1989,3,3,0.216216216,0.513513514,1,8,-0.135135135,1.027027027,0.216216216,0.594594595,336,11,3. RR,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,23,Mirror reversed,O22,RVF,1. left,907,3,2,1.081081081,0.486486486,3,7,0.216216216,1.054054054,1.351351351,0.243243243,-277,18,3. RR,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,23,Mirror reversed,O22,RVF,2. center,1356,3,3,0.27027027,0.918918919,2,5,0.216216216,1.054054054,0.108108108,0.864864865,21,30,2. target,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,23,Mirror reversed,O22,RVF,3. right,1340,2,2,0.405405405,0.621621622,1,6,0.216216216,1.054054054,0.405405405,0.567567568,334,25,1. LL,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,24,Mirror reversed,O22,LVF,1. left,2306,3,2,0.918918919,0.486486486,6,10,0.216216216,1.135135135,0.972972973,0.567567568,-288,15,1. LL,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,24,Mirror reversed,O22,LVF,2. center,2130,5,5,0.405405405,0.756756757,3,12,0.216216216,1.135135135,0.540540541,0.810810811,30,17,2. target,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,24,Mirror reversed,O22,LVF,3. right,3004,6,5,0.108108108,0.594594595,1,13,0.216216216,1.135135135,0.756756757,0.567567568,358,20,3. RR,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,25,Mirror reversed,O20,RVF,1. left,841,1,1,0.783783784,0.459459459,1,1,-0.675675676,0.756756757,0.783783784,0.459459459,-291,17,3. RR,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,25,Mirror reversed,O20,RVF,2. center,1115,3,3,0.189189189,0.72972973,2,4,-0.675675676,0.756756757,0.567567568,0.72972973,31,22,2. target,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,25,Mirror reversed,O20,RVF,3. right,591,1,1,0.162162162,0.459459459,3,3,-0.675675676,0.756756757,0.162162162,0.459459459,326,17,1. LL,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,26,Intact,O82,LVF,1. left,949,2,2,0.918918919,0.486486486,3,6,0.405405405,1.189189189,0.72972973,0.378378378,-276,23,1. LL,LVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,26,Intact,O82,LVF,2. center,2122,4,4,0.540540541,0.972972973,2,7,0.405405405,1.189189189,0.756756757,0.837837838,24,35,2. target,LVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,26,Intact,O82,LVF,3. right,1357,2,2,0.513513514,0.756756757,1,5,0.405405405,1.189189189,0.513513514,0.837837838,340,24,3. RR,LVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,27,Mirror reversed,O37,RVF,1. left,807,3,1,0.72972973,0.216216216,3,5,0.324324324,1,0.162162162,0.135135135,-293,8,3. RR,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,27,Mirror reversed,O37,RVF,2. center,974,2,2,0.432432432,0.918918919,2,2,0.324324324,1,0.621621622,0.756756757,23,28,2. target,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,27,Mirror reversed,O37,RVF,3. right,1973,2,2,0.27027027,0.459459459,1,6,0.324324324,1,0.351351351,0.486486486,321,16,1. LL,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,28,Mirror reversed,O68,RVF,1. left,1032,2,2,1,0.486486486,5,10,0.216216216,1.189189189,0.918918919,0.405405405,-275,25,3. RR,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,28,Mirror reversed,O68,RVF,2. center,2621,6,5,0.108108108,0.702702703,2,9,0.216216216,1.189189189,0.405405405,0.756756757,-13,25,2. target,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
